timestamp, node_count, added, removed, detailed_nodes
2025-05-13 17:01:37,2,master is added//node-1 is added,,master//node-1
2025-05-13 17:01:42,2,,,master//node-1
2025-05-13 17:01:47,2,,,master//node-1
2025-05-13 17:01:52,2,,,master//node-1
2025-05-13 17:01:57,2,,,master//node-1
2025-05-13 17:02:02,2,,,master//node-1
2025-05-13 17:02:07,2,,,master//node-1
2025-05-13 17:02:12,2,,,master//node-1
2025-05-13 17:02:17,2,,,master//node-1
2025-05-13 17:02:23,2,,,master//node-1
2025-05-13 17:02:28,2,,,master//node-1
2025-05-13 17:02:33,2,,,master//node-1
2025-05-13 17:02:38,2,,,master//node-1
2025-05-13 17:02:43,2,,,master//node-1
2025-05-13 17:02:48,2,,,master//node-1
2025-05-13 17:02:53,2,,,master//node-1
2025-05-13 17:02:58,2,,,master//node-1
2025-05-13 17:03:03,2,,,master//node-1
2025-05-13 17:03:08,2,,,master//node-1
2025-05-13 17:03:13,2,,,master//node-1
2025-05-13 17:03:18,2,,,master//node-1
2025-05-13 17:03:24,2,,,master//node-1
2025-05-13 17:03:29,2,,,master//node-1
2025-05-13 17:03:34,2,,,master//node-1
2025-05-13 17:03:39,2,,,master//node-1
2025-05-13 17:03:44,2,,,master//node-1
2025-05-13 17:03:49,2,,,master//node-1
2025-05-13 17:03:54,2,,,master//node-1
2025-05-13 17:03:59,2,,,master//node-1
2025-05-13 17:04:04,2,,,master//node-1
2025-05-13 17:04:09,2,,,master//node-1
2025-05-13 17:04:14,2,,,master//node-1
2025-05-13 17:04:19,2,,,master//node-1
2025-05-13 17:04:24,2,,,master//node-1
2025-05-13 17:04:29,2,,,master//node-1
2025-05-13 17:04:35,2,,,master//node-1
2025-05-13 17:04:40,2,,,master//node-1
2025-05-13 17:04:45,2,,,master//node-1
2025-05-13 17:04:50,2,,,master//node-1
2025-05-13 17:04:55,2,,,master//node-1
2025-05-13 17:05:00,2,,,master//node-1
2025-05-13 17:05:05,2,,,master//node-1
2025-05-13 17:05:10,2,,,master//node-1
2025-05-13 17:05:15,2,,,master//node-1
2025-05-13 17:05:20,2,,,master//node-1
2025-05-13 17:05:25,2,,,master//node-1
2025-05-13 17:05:30,2,,,master//node-1
2025-05-13 17:05:35,2,,,master//node-1
2025-05-13 17:05:41,2,,,master//node-1
2025-05-13 17:05:46,2,,,master//node-1
2025-05-13 17:05:51,2,,,master//node-1
2025-05-13 17:05:56,2,,,master//node-1
2025-05-13 17:06:01,2,,,master//node-1
2025-05-13 17:06:06,2,,,master//node-1
2025-05-13 17:06:11,2,,,master//node-1
2025-05-13 17:06:16,2,,,master//node-1
2025-05-13 17:06:21,2,,,master//node-1
2025-05-13 17:06:26,2,,,master//node-1
2025-05-13 17:06:31,2,,,master//node-1
